Data;Injetado
01/2022;0
02/2022;0
03/2022;0
04/2022;0
05/2022;0
06/2022;430
07/2022;470
08/2022;522
09/2022;613
10/2022;609
11/2022;650
12/2022;734
01/2023;771
02/2023;751
03/2023;625
04/2023;640
05/2023;584
06/2023;472
07/2023;550
08/2023;605
09/2023;625
10/2023;645
11/2023;620
12/2023;0
01/2024;0
02/2024;657
03/2024;831
04/2024;447
05/2024;520
06/2024;505
07/2024;370
08/2024;492
09/2024;648
10/2024;487
11/2024;387
12/2024;277
01/2025;450
02/2025;529
03/2025;447
04/2025;294
05/2025;245
06/2025;200
07/2025;190
08/2025;263
09/2025;302
10/2025;367
11/2025;379
12/2025;390
01/2026;431
02/2026;415
03/2026;325
04/2026;340
05/2026;201
